Sample in Buffer,Sample in Window,TRIGGER,pwm_out_1[7:0],cnt_out_1[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
936,936,0,00,b3
937,937,0,00,b4
938,938,0,00,b5
939,939,0,00,b6
940,940,0,00,b7
941,941,0,00,b8
942,942,0,00,b9
943,943,0,00,ba
944,944,0,00,bb
945,945,0,00,bc
946,946,0,00,bd
947,947,0,00,be
948,948,0,00,bf
949,949,0,00,c0
950,950,0,00,c1
951,951,0,00,c2
952,952,0,00,c3
953,953,0,00,c4
954,954,0,00,c5
955,955,0,00,c6
956,956,0,00,c7
957,957,0,00,c8
958,958,0,00,c9
959,959,0,00,ca
960,960,0,00,cb
961,961,0,00,cc
962,962,0,00,cd
963,963,0,00,ce
964,964,0,00,cf
965,965,0,00,d0
966,966,0,00,d1
967,967,0,00,d2
968,968,0,00,d3
969,969,0,00,d4
970,970,0,00,d5
971,971,0,00,d6
972,972,0,00,d7
973,973,0,00,d8
974,974,0,00,d9
975,975,0,00,da
976,976,0,00,db
977,977,0,00,dc
978,978,0,00,dd
979,979,0,00,de
980,980,0,00,df
981,981,0,00,e0
982,982,0,00,e1
983,983,0,00,e2
984,984,0,00,e3
985,985,0,00,e4
986,986,0,00,e5
987,987,0,00,e6
988,988,0,00,e7
989,989,0,00,e8
990,990,0,00,e9
991,991,0,00,ea
992,992,0,00,eb
993,993,0,00,ec
994,994,0,00,ed
995,995,0,00,ee
996,996,0,00,ef
997,997,0,00,f0
998,998,0,00,f1
999,999,0,00,f2
1000,1000,0,00,f3
1001,1001,0,00,f4
1002,1002,0,00,f5
1003,1003,0,00,f6
1004,1004,0,00,f7
1005,1005,0,00,f8
1006,1006,0,00,f9
1007,1007,0,00,fa
1008,1008,0,00,fb
1009,1009,0,00,fc
1010,1010,0,00,fd
1011,1011,0,00,fe
1012,1012,0,00,00
1013,1013,0,08,01
1014,1014,0,08,02
1015,1015,0,08,03
1016,1016,0,08,04
1017,1017,0,08,05
1018,1018,0,08,06
1019,1019,0,08,07
1020,1020,0,08,08
1021,1021,0,08,09
1022,1022,0,08,0a
1023,1023,0,08,0b
